POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,year
1,Shubman GillGT,17,17,2,890,129,59.33,564,157.80,3,4,85,33,2023
2,Faf Du PlessisRCB,14,14,1,730,84,56.15,475,153.68,0,8,60,36,2023
3,Devon ConwayCSK,16,15,2,672,92*,51.69,481,139.70,0,6,77,18,2023
4,Virat KohliRCB,14,14,2,639,101*,53.25,457,139.82,2,6,65,16,2023
5,Yashasvi JaiswalRR,14,14,1,625,124,48.08,382,163.61,1,5,82,26,2023
6,Suryakumar YadavMI,16,16,2,605,103*,43.21,334,181.13,1,5,65,28,2023
7,Ruturaj GaikwadCSK,16,15,1,590,92,42.14,400,147.50,0,4,46,30,2023
8,David WarnerDC,14,14,0,516,86,36.86,392,131.63,0,6,69,10,2023
9,Rinku SinghKKR,14,14,6,474,67*,59.25,317,149.52,0,4,31,29,2023
10,Ishan KishanMI,15,15,0,454,75,30.27,318,142.76,0,3,54,18,2023
11,Cameron GreenMI,16,16,7,452,100*,50.22,282,160.28,1,2,40,22,2023
12,Heinrich KlaasenSRH,12,11,2,448,104,49.78,253,177.07,1,2,32,25,2023
13,Shivam DubeCSK,16,14,3,418,52,38.00,264,158.33,0,3,12,35,2023
14,Nitish RanaKKR,14,14,1,413,75,31.77,293,140.95,0,3,39,20,2023
15,Marcus StoinisLSG,15,15,2,408,89*,31.38,272,150.00,0,3,28,27,2023
16,Venkatesh IyerKKR,14,14,0,404,104,28.86,277,145.84,1,2,32,21,2023
17,Glenn MaxwellRCB,14,14,2,400,77,33.33,218,183.48,0,5,29,31,2023
18,Jos ButtlerRR,14,14,0,392,95,28.00,282,139.00,0,4,42,14,2023
19,Kyle MayersLSG,13,13,0,379,73,29.15,263,144.10,0,4,38,22,2023
20,Shikhar DhawanPBKS,11,11,2,373,99*,41.44,261,142.91,0,3,49,12,2023
21,Wriddhiman SahaGT,17,17,1,371,81,23.19,287,129.26,0,2,47,8,2023
22,Sanju SamsonRR,14,14,2,362,66*,30.17,236,153.38,0,3,25,24,2023
23,Sai SudharsanGT,8,8,1,362,96,51.71,256,141.40,0,3,33,12,2023
24,Nicholas PooranLSG,15,15,3,358,62,29.83,207,172.94,0,2,26,26,2023
25,Simran SinghPBKS,14,14,0,358,103,25.57,238,150.42,1,1,38,19,2023
26,Hardik PandyaGT,16,15,4,346,66,31.45,253,136.75,0,2,26,15,2023
27,Tilak VarmaMI,11,11,3,343,84*,42.88,209,164.11,0,1,26,23,2023
28,Rohit SharmaMI,16,16,0,332,65,20.75,250,132.80,0,2,35,17,2023
29,Ajinkya RahaneCSK,14,11,1,326,71*,32.60,189,172.48,0,2,24,16,2023
30,Jitesh SharmaPBKS,14,14,1,309,49*,23.77,198,156.06,0,0,22,21,2023
31,Vijay ShankarGT,14,10,2,301,63*,37.63,188,160.10,0,3,27,15,2023
32,Shimron HetmyerRR,14,13,5,300,56*,37.50,197,152.28,0,1,12,23,2023
33,Jason RoyKKR,8,8,0,285,61,35.63,188,151.59,0,2,36,12,2023
34,Axar PatelDC,14,13,3,283,54,28.30,203,139.40,0,1,21,15,2023
35,Liam LivingstonePBKS,9,9,1,279,94,34.88,171,163.15,0,2,20,19,2023
36,Sam CurranPBKS,14,13,3,276,55,27.60,203,135.96,0,1,20,13,2023
37,K L RahulLSG,9,9,1,274,74,34.25,242,113.22,0,2,28,4,2023
38,Rahul TripathiSRH,13,13,1,273,74*,22.75,213,128.16,0,1,29,10,2023
39,Mayank AgarwalSRH,10,10,0,270,83,27.00,210,128.57,0,1,29,6,2023
40,Devdutt PadikkalRR,11,11,1,261,52,26.10,200,130.50,0,2,31,6,2023
41,David MillerGT,16,13,5,259,46,32.38,178,145.50,0,0,18,13,2023
42,Aiden MarkramSRH,13,13,2,248,50,22.55,197,125.88,0,1,18,8,2023
43,Nehal WaderaMI,14,10,1,241,64,26.78,166,145.18,0,2,23,12,2023
44,Ayush BadoniLSG,15,12,2,238,59*,23.80,172,138.37,0,1,13,12,2023
45,Tim DavidMI,16,15,6,231,45*,25.67,146,158.21,0,0,12,15,2023
46,Andre RussellKKR,14,14,3,227,42,20.64,156,145.51,0,0,13,18,2023
47,Rahmanullah GurbazKKR,11,11,0,227,81,20.64,170,133.52,0,2,17,15,2023
48,Abhishek SharmaSRH,11,11,0,226,67,20.55,157,143.94,0,2,28,6,2023
49,Phil SaltDC,9,9,1,218,87,27.25,133,163.90,0,2,24,10,2023
50,Rilee RossouwDC,9,9,2,209,82*,29.86,141,148.22,0,1,17,11,2023
51,Ravindra JadejaCSK,16,12,4,190,25*,23.75,133,142.85,0,0,11,9,2023
